Entity,Code,Year,share of global production|Copper|Mine|tonnes
Botswana,BWA,1979,0.19813606
Botswana,BWA,1980,0.21602778
Botswana,BWA,1981,0.2316645
Botswana,BWA,1982,0.24241425
Botswana,BWA,1983,0.2663075
Botswana,BWA,1984,0.27550575
Botswana,BWA,1985,0.27148935
Botswana,BWA,1986,0.26872796
Botswana,BWA,1987,0.22978155
Botswana,BWA,1988,0.28013763
Botswana,BWA,1989,0.25888273
Botswana,BWA,1990,0.22404347
Botswana,BWA,1991,0.2205359
Botswana,BWA,1992,0.21555439
Botswana,BWA,1993,0.2121391
Botswana,BWA,1994,0.23978947
Botswana,BWA,1995,0.20461
Botswana,BWA,1996,0.21180908
Botswana,BWA,1997,0.17234783
Botswana,BWA,1998,0.18284297
Botswana,BWA,1999,0.16375
Botswana,BWA,2000,0.14076692
Botswana,BWA,2001,0.14021167
Botswana,BWA,2002,0.15875
Botswana,BWA,2003,0.17600724
Botswana,BWA,2004,0.14418368
Botswana,BWA,2005,0.17802666
Botswana,BWA,2006,0.16062914
Botswana,BWA,2007,0.12900645
Botswana,BWA,2008,0.1483718
Botswana,BWA,2009,0.1523875
Botswana,BWA,2010,0.29829815
Botswana,BWA,2011,0.19831677
Botswana,BWA,2012,0.21417964
Botswana,BWA,2013,0.26358697
Botswana,BWA,2014,0.20430107
Botswana,BWA,2015,0.0474715
Botswana,BWA,2016,0.060560975
Botswana,BWA,2017,0.006164179
Botswana,BWA,2018,0.0070970873
Botswana,BWA,2019,0
Botswana,BWA,2020,0
Botswana,BWA,2021,0.055386793
Botswana,BWA,2022,0.15616895
Brazil,BRA,1970,0.06644068
Brazil,BRA,1971,0.09121212
Brazil,BRA,1972,0.068119265
Brazil,BRA,1973,0.04930636
Brazil,BRA,1974,0.04330986
Brazil,BRA,1975,0.02851632
Brazil,BRA,1976,0.00074380165
Brazil,BRA,1977,0
Brazil,BRA,1978,0
Brazil,BRA,1979,0
Brazil,BRA,1980,0.0055833333
Brazil,BRA,1981,0.15314694
Brazil,BRA,1982,0.32298154
Brazil,BRA,1983,0.42151117
Brazil,BRA,1984,0.45085788
Brazil,BRA,1985,0.51312894
Brazil,BRA,1986,0.50608313
Brazil,BRA,1987,0.489466
Brazil,BRA,1988,0.5142775
Brazil,BRA,1989,0.5247677
Brazil,BRA,1990,0.37435868
Brazil,BRA,1991,0.40672025
Brazil,BRA,1992,0.42074972
Brazil,BRA,1993,0.45909378
Brazil,BRA,1994,0.41762105
Brazil,BRA,1995,0.48933
Brazil,BRA,1996,0.4200273
Brazil,BRA,1997,0.34740868
Brazil,BRA,1998,0.28467768
Brazil,BRA,1999,0.24508594
Brazil,BRA,2000,0.23899248
Brazil,BRA,2001,0.23893431
Brazil,BRA,2002,0.24052206
Brazil,BRA,2003,0.19039854
Brazil,BRA,2004,0.7017211
Brazil,BRA,2005,0.88883334
Brazil,BRA,2006,0.97904634
Brazil,BRA,2007,1.3272774
Brazil,BRA,2008,1.3993269
Brazil,BRA,2009,1.323075
Brazil,BRA,2010,1.3263851
Brazil,BRA,2011,1.3277018
Brazil,BRA,2012,1.3361737
Brazil,BRA,2013,1.4727119
Brazil,BRA,2014,1.6193388
Brazil,BRA,2015,1.8625026
Brazil,BRA,2016,1.6468292
Brazil,BRA,2017,1.9131442
Brazil,BRA,2018,1.8726262
Brazil,BRA,2019,1.7807255
Brazil,BRA,2020,1.7148447
Brazil,BRA,2021,3.1683207
Brazil,BRA,2022,1.3591461
Bulgaria,BGR,1970,0.7118644
Bulgaria,BGR,1971,0.74747473
Bulgaria,BGR,1972,0.70795107
Bulgaria,BGR,1973,0.6936416
Bulgaria,BGR,1974,0.72676057
Bulgaria,BGR,1975,0.81602377
Bulgaria,BGR,1976,0.78512394
Bulgaria,BGR,1977,0.7681941
Bulgaria,BGR,1978,0.78296703
Bulgaria,BGR,1979,0.81632656
Bulgaria,BGR,1980,0.8611111
Bulgaria,BGR,1981,0.80624187
Bulgaria,BGR,1982,0.8575198
Bulgaria,BGR,1983,0.8935611
Bulgaria,BGR,1984,0.9346991
Bulgaria,BGR,1985,0.7259074
Bulgaria,BGR,1986,0.88161206
Bulgaria,BGR,1987,0.6553398
Bulgaria,BGR,1988,0.5733945
Bulgaria,BGR,1989,0.42920354
Bulgaria,BGR,1990,0.3576087
Bulgaria,BGR,1991,0.50589496
Bulgaria,BGR,1992,0.500528
Bulgaria,BGR,1993,0.6364594
Bulgaria,BGR,1994,0.79473686
Bulgaria,BGR,1995,0.774
Bulgaria,BGR,1996,0.7709091
Bulgaria,BGR,1997,0.65652174
Bulgaria,BGR,1998,0.6818182
Bulgaria,BGR,1999,0.68359375
Bulgaria,BGR,2000,0.7007519
Bulgaria,BGR,2001,0.7087591
Bulgaria,BGR,2002,0.62058824
Bulgaria,BGR,2003,0.6637681
Bulgaria,BGR,2004,0.5414966
Bulgaria,BGR,2005,0.75024
Bulgaria,BGR,2006,0.818351
Bulgaria,BGR,2007,0.7494
Bulgaria,BGR,2008,0.68714744
Bulgaria,BGR,2009,0.691575
Bulgaria,BGR,2010,0.70126706
Bulgaria,BGR,2011,0.7118199
Bulgaria,BGR,2012,0.7081138
Bulgaria,BGR,2013,0.6258098
Bulgaria,BGR,2014,0.5823817
Bulgaria,BGR,2015,0.3717513
Bulgaria,BGR,2016,0.34425855
Bulgaria,BGR,2017,0.363199
Bulgaria,BGR,2018,0.339034
Bulgaria,BGR,2019,0.34768137
Bulgaria,BGR,2020,0.34066018
Bulgaria,BGR,2021,0.31279245
Bulgaria,BGR,2022,0.30593607
Canada,CAN,1970,10.343746
Canada,CAN,1971,11.018013
Canada,CAN,1972,11.004159
Canada,CAN,1973,11.906676
Canada,CAN,1974,11.568747
Canada,CAN,1975,10.887626
Canada,CAN,1976,10.067906
Canada,CAN,1977,10.234812
Canada,CAN,1978,9.057418
Canada,CAN,1979,8.658272
Canada,CAN,1980,9.949486
Canada,CAN,1981,8.989961
Canada,CAN,1982,8.079882
Canada,CAN,1983,8.581341
Canada,CAN,1984,9.242331
Canada,CAN,1985,9.244518
Canada,CAN,1986,8.797569
Canada,CAN,1987,9.735207
Canada,CAN,1988,8.90461
Canada,CAN,1989,7.998363
Canada,CAN,1990,8.627554
Canada,CAN,1991,8.693827
Canada,CAN,1992,8.115966
Canada,CAN,1993,7.71961
Canada,CAN,1994,6.4923787
Canada,CAN,1995,7.26293
Canada,CAN,1996,6.258418
Canada,CAN,1997,5.7347827
Canada,CAN,1998,5.832777
Canada,CAN,1999,4.844414
Canada,CAN,2000,4.765827
Canada,CAN,2001,4.624314
Canada,CAN,2002,4.437485
Canada,CAN,2003,4.036826
Canada,CAN,2004,3.8285375
Canada,CAN,2005,3.96922
Canada,CAN,2006,3.995331
Canada,CAN,2007,3.8467677
Canada,CAN,2008,3.8971603
Canada,CAN,2009,3.0287812
Canada,CAN,2010,3.2433043
Canada,CAN,2011,3.5203664
Canada,CAN,2012,3.4735448
Canada,CAN,2013,3.546712
Canada,CAN,2014,3.6168225
Canada,CAN,2015,3.7028341
Canada,CAN,2016,3.3807757
Canada,CAN,2017,2.9711144
Canada,CAN,2018,2.6602476
Canada,CAN,2019,2.7489264
Canada,CAN,2020,2.8398058
Canada,CAN,2021,2.5943396
Canada,CAN,2022,2.3744292
Canada,CAN,2023,2.1818182
Chile,CHL,1970,11.620339
Chile,CHL,1971,11.924242
Chile,CHL,1972,10.961774
Chile,CHL,1973,10.627168
Chile,CHL,1974,12.671831
Chile,CHL,1975,12.289317
Chile,CHL,1976,13.84573
Chile,CHL,1977,14.234501
Chile,CHL,1978,14.206044
Chile,CHL,1979,14.458504
Chile,CHL,1980,14.831944
Chile,CHL,1981,14.058517
Chile,CHL,1982,16.387863
Chile,CHL,1983,16.524311
Chile,CHL,1984,16.526249
Chile,CHL,1985,16.976221
Chile,CHL,1986,17.646095
Chile,CHL,1987,17.209951
Chile,CHL,1988,16.639908
Chile,CHL,1989,17.80199
Chile,CHL,1990,17.265217
Chile,CHL,1991,19.445873
Chile,CHL,1992,20.408659
Chile,CHL,1993,21.658588
Chile,CHL,1994,23.367369
Chile,CHL,1995,24.886
Chile,CHL,1996,28.325455
Chile,CHL,1997,29.495651
Chile,CHL,1998,30.470247
Chile,CHL,1999,34.30625
Chile,CHL,2000,34.601505
Chile,CHL,2001,34.59124
Chile,CHL,2002,33.68088
Chile,CHL,2003,35.53768
Chile,CHL,2004,36.81973
Chile,CHL,2005,35.47
Chile,CHL,2006,35.501987
Chile,CHL,2007,35.851612
Chile,CHL,2008,34.151283
Chile,CHL,2009,33.715
Chile,CHL,2010,33.657764
Chile,CHL,2011,32.688198
Chile,CHL,2012,32.538322
Chile,CHL,2013,31.391304
Chile,CHL,2014,30.973656
Chile,CHL,2015,29.907253
Chile,CHL,2016,27.085854
Chile,CHL,2017,27.380596
Chile,CHL,2018,28.308739
Chile,CHL,2019,28.369608
Chile,CHL,2020,27.815535
Chile,CHL,2021,26.509434
Chile,CHL,2022,24.3379
Chile,CHL,2023,22.727272
China,CHN,1972,1.7584097
China,CHN,1973,1.734104
China,CHN,1974,1.8309859
China,CHN,1975,2.0771513
China,CHN,1976,2.0661156
China,CHN,1977,2.0889487
China,CHN,1978,2.1978023
China,CHN,1979,2.1768708
China,CHN,1980,2.2916667
China,CHN,1981,2.210663
China,CHN,1982,2.3087072
China,CHN,1983,2.2996058
China,CHN,1984,3.0729833
China,CHN,1985,3.379224
China,CHN,1986,3.7783375
China,CHN,1987,4.247573
China,CHN,1988,4.2431192
China,CHN,1989,6.0176992
China,CHN,1990,6.054348
China,CHN,1991,3.2583065
China,CHN,1992,3.530095
China,CHN,1993,3.6427293
China,CHN,1994,4.1645265
China,CHN,1995,4.419
China,CHN,1996,3.9672728
China,CHN,1997,4.308696
China,CHN,1998,4.0231404
China,CHN,1999,4.063281
China,CHN,2000,4.455639
China,CHN,2001,4.2846713
China,CHN,2002,4.2507353
China,CHN,2003,4.4521737
China,CHN,2004,5.1306124
China,CHN,2005,5.173333
China,CHN,2006,5.8874173
China,CHN,2007,6.104516
China,CHN,2008,7.004487
China,CHN,2009,6.6375
China,CHN,2010,7.178882
China,CHN,2011,8.041615
China,CHN,2012,9.441916
China,CHN,2013,9.321467
China,CHN,2014,9.552656
China,CHN,2015,8.870803
China,CHN,2016,9.26921
China,CHN,2017,8.4895525
China,CHN,2018,7.840942
China,CHN,2019,8.253431
China,CHN,2020,8.349515
China,CHN,2021,9.009434
China,CHN,2022,8.858447
China,CHN,2023,7.7272725
Colombia,COL,1974,0
Colombia,COL,1975,0
Colombia,COL,1976,0.0035812673
Colombia,COL,1977,0.0010512129
Colombia,COL,1978,0.0013736264
Colombia,COL,1979,0.0045714285
Colombia,COL,1980,0.006138889
Colombia,COL,1981,0.004096229
Colombia,COL,1982,0.0014907651
Colombia,COL,1983,0.002128778
Colombia,COL,1984,0.0029961588
Colombia,COL,1985,0
Colombia,COL,1986,0
Colombia,COL,1994,0.027168421
Colombia,COL,1995,0.02747
Colombia,COL,1996,0.0202
Colombia,COL,1997,0.015652174
Colombia,COL,1998,0.014876033
Colombia,COL,1999,0.01640625
Colombia,COL,2000,0.015172932
Colombia,COL,2001,0.01459854
Colombia,COL,2002,0.0125
Colombia,COL,2003,0.010869565
Colombia,COL,2004,0.010884354
Colombia,COL,2005,0.012
Colombia,COL,2006,0.00397351
Colombia,COL,2007,0.005419355
Colombia,COL,2008,0.0067307693
Colombia,COL,2009,0.007125
Colombia,COL,2010,0.004416149
Colombia,COL,2011,0.0050186333
Colombia,COL,2012,0.0046766466
Colombia,COL,2013,0.0035815218
Colombia,COL,2014,0.022139786
Colombia,COL,2015,0.0283057
Colombia,COL,2016,0.04142927
Colombia,COL,2017,0.046542287
Colombia,COL,2018,0.04814563
Colombia,COL,2019,0.037455883
Colombia,COL,2020,0.045417476
Colombia,COL,2021,0.03865566
Colombia,COL,2022,0.03561644
Congo,COG,1970,0.0045593223
Congo,COG,1971,0.034848485
Congo,COG,1972,0.0838685
Congo,COG,1973,0.053598266
Congo,COG,1974,0.029577464
Congo,COG,1975,0.013620178
Congo,COG,1976,0.0056198346
Congo,COG,1977,0.0136792455
Congo,COG,1978,0.008173077
Congo,COG,1979,0.013605442
Congo,COG,1980,0.018055556
Congo,COG,1981,0.0031859558
Congo,COG,1982,0.0013192613
Congo,COG,1983,0.0013140604
Congo,COG,1984,0
Congo,COG,1985,0.0012515645
Congo,COG,1986,0.008816121
Congo,COG,1987,0.0038834952
Congo,COG,1988,0.0059633027
Cuba,CUB,1970,0.006779661
Cuba,CUB,1971,0
Cuba,CUB,1972,0.02793578
Cuba,CUB,1973,0.030447977
Cuba,CUB,1974,0.040859155
Cuba,CUB,1975,0.04120178
Cuba,CUB,1976,0.039917354
Cuba,CUB,1977,0.03481132
Cuba,CUB,1978,0.03875
Cuba,CUB,1979,0.038639456
Cuba,CUB,1980,0.046527777
Cuba,CUB,1981,0.037815344
Cuba,CUB,1982,0.035277046
Cuba,CUB,1983,0.035321943
Cuba,CUB,1984,0.034583867
Cuba,CUB,1985,0.038498122
Cuba,CUB,1986,0.04102015
Cuba,CUB,1987,0.04200243
Cuba,CUB,1988,0.033841744
Cuba,CUB,1989,0.030519912
Cuba,CUB,1990,0.02173913
Cuba,CUB,1991,0.021436227
Cuba,CUB,1992,0.015839493
Cuba,CUB,1993,0.021074815
Cuba,CUB,1994,0.021052632
Cuba,CUB,1995,0.01858
Cuba,CUB,1996,0.021472728
Cuba,CUB,1997,0.0192
Cuba,CUB,1998,0.011165289
Cuba,CUB,1999,0.008515625
Cuba,CUB,2000,0.010120301
Cuba,CUB,2001,0.00729927
Cyprus,CYP,1972,0.25637615
Cyprus,CYP,1973,0.20544797
Cyprus,CYP,1974,0.18067606
Cyprus,CYP,1975,0.14637983
Cyprus,CYP,1976,0.108815424
Cyprus,CYP,1977,0.091644205
Cyprus,CYP,1978,0.06425824
Cyprus,CYP,1979,0.01632653
Cyprus,CYP,1980,0
Cyprus,CYP,1981,0.0033680105
Cyprus,CYP,1982,0.011094986
Cyprus,CYP,1983,0.015085414
Cyprus,CYP,1984,0.016222792
Cyprus,CYP,1985,0.013329161
Cyprus,CYP,1986,0.0070403023
Cyprus,CYP,1987,0.0011771845
Cyprus,CYP,1988,0.004392202
Cyprus,CYP,1989,0.0053650443
Cyprus,CYP,1990,0.005130435
Cyprus,CYP,1991,0.0024222936
Cyprus,CYP,1994,0
Cyprus,CYP,1995,0
Cyprus,CYP,1996,0.015454546
Cyprus,CYP,1997,0.033913042
Cyprus,CYP,1998,0.040561985
Cyprus,CYP,1999,0.039109375
Cyprus,CYP,2000,0.039097745
Cyprus,CYP,2001,0.03357664
Cyprus,CYP,2002,0.027205883
Cyprus,CYP,2003,0.018115941
Cyprus,CYP,2004,0
Cyprus,CYP,2005,0
Cyprus,CYP,2006,0.0059602647
Cyprus,CYP,2007,0.019432258
Cyprus,CYP,2008,0.019141026
Cyprus,CYP,2009,0.014875
Cyprus,CYP,2010,0.016118012
Cyprus,CYP,2011,0.02273292
Cyprus,CYP,2012,0.025916168
Cyprus,CYP,2013,0.019733695
Cyprus,CYP,2014,0.016602151
Cyprus,CYP,2015,0.010989637
Cyprus,CYP,2016,0.008556098
Cyprus,CYP,2017,0.006432836
Cyprus,CYP,2018,0.004407767
Cyprus,CYP,2019,0.0034460784
Cyprus,CYP,2020,0
Cyprus,CYP,2021,0
Cyprus,CYP,2022,0
Czechoslovakia,OWID_CZS,1974,0.15352112
Czechoslovakia,OWID_CZS,1975,0.15875371
Czechoslovakia,OWID_CZS,1976,0.11707989
Czechoslovakia,OWID_CZS,1977,0.10512129
Czechoslovakia,OWID_CZS,1978,0.11263736
Czechoslovakia,OWID_CZS,1979,0.12244898
Czechoslovakia,OWID_CZS,1980,0.15972222
Czechoslovakia,OWID_CZS,1981,0.11963589
Czechoslovakia,OWID_CZS,1982,0.122691296
Czechoslovakia,OWID_CZS,1983,0.12877792
Czechoslovakia,OWID_CZS,1984,0.1306018
Czechoslovakia,OWID_CZS,1985,0.12640801
Czechoslovakia,OWID_CZS,1986,0.060390428
Czechoslovakia,OWID_CZS,1987,0.049381066
Czechoslovakia,OWID_CZS,1988,0.043658257
Czechoslovakia,OWID_CZS,1989,0.04102876
Czechoslovakia,OWID_CZS,1990,0.031347826
Czechoslovakia,OWID_CZS,1991,0.016613076
Czechoslovakia,OWID_CZS,1992,0.010559662
Democratic Republic of Congo,COD,1970,6.536932
Democratic Republic of Congo,COD,1971,6.8636365
Democratic Republic of Congo,COD,1972,6.7049084
Democratic Republic of Congo,COD,1973,7.059451
Democratic Republic of Congo,COD,1974,7.032831
Democratic Republic of Congo,COD,1975,6.8980417
Democratic Republic of Congo,COD,1976,6.1149864
Democratic Republic of Congo,COD,1977,6.1012936
Democratic Republic of Congo,COD,1978,6.490838
Democratic Republic of Congo,COD,1979,5.461442
Democratic Republic of Congo,COD,1980,6.419472
Democratic Republic of Congo,COD,1981,6.586229
Democratic Republic of Congo,COD,1982,6.6673484
Democratic Republic of Congo,COD,1983,6.6255846
Democratic Republic of Congo,COD,1984,6.4048657
Democratic Republic of Congo,COD,1985,6.310826
Democratic Republic of Congo,COD,1986,6.3299747
Democratic Republic of Congo,COD,1987,6.0905824
Democratic Republic of Congo,COD,1988,5.800459
Democratic Republic of Congo,COD,1989,4.89823
Democratic Republic of Congo,COD,1990,3.8304348
Democratic Republic of Congo,COD,1991,2.5305467
Democratic Republic of Congo,COD,1992,1.5237592
Democratic Republic of Congo,COD,1993,0.63224447
Democratic Republic of Congo,COD,1994,0.42781052
Democratic Republic of Congo,COD,1995,0.34958
Democratic Republic of Congo,COD,1996,0.36513636
Democratic Republic of Congo,COD,1997,0.3447913
Democratic Republic of Congo,COD,1998,0.316
Democratic Republic of Congo,COD,1999,0.2578125
Democratic Republic of Congo,COD,2000,0.24812031
